,Genome match,Distance,E-value 1,E-value 2,E-value others,PETase copies
ASV013603,2663762778,0.105898,4.20E-151,3.30E-09,0.01,2
ASV013647,2663762778,0.136975,4.20E-151,3.30E-09,0.01,2
ASV013658,2663762778,0.044744,4.20E-151,3.30E-09,0.01,2
ASV013670,2663762778,0.077233,4.20E-151,3.30E-09,0.01,2
ASV013707,2663762778,0.050384,4.20E-151,3.30E-09,0.01,2
ASV013716,2663762778,0.145763,4.20E-151,3.30E-09,0.01,2
ASV013745,2663762778,0.057184,4.20E-151,3.30E-09,0.01,2
ASV013924,2563366573,0.159463,7.00E-07,8.30E-07,0.01,2
ASV013926,2663762778,0.147078,4.20E-151,3.30E-09,0.01,2
ASV014246,2663762778,0.453012,4.20E-151,3.30E-09,0.01,2
ASV014290,2663762778,0.147,4.20E-151,3.30E-09,0.01,2
ASV014297,2663762778,0.324528,4.20E-151,3.30E-09,0.01,2
ASV014303,2663762778,0.082107,4.20E-151,3.30E-09,0.01,2
ASV014304,2663762778,0.024066,4.20E-151,3.30E-09,0.01,2
ASV014331,2663762778,0.074676,4.20E-151,3.30E-09,0.01,2
ASV014338,2663762778,0.147214,4.20E-151,3.30E-09,0.01,2
ASV014361,2663762778,0.065446,4.20E-151,3.30E-09,0.01,2
ASV014756,2663762778,0.163344,4.20E-151,3.30E-09,0.01,2
ASV014805,2663762778,0.065546,4.20E-151,3.30E-09,0.01,2
ASV014823,2663762778,0.032881,4.20E-151,3.30E-09,0.01,2
ASV016415,2663762778,0.181292,4.20E-151,3.30E-09,0.01,2
ASV016459,2663762778,0.099566,4.20E-151,3.30E-09,0.01,2
ASV016936,2663762778,0.0359,4.20E-151,3.30E-09,0.01,2
ASV017001,2663762778,0.033351,4.20E-151,3.30E-09,0.01,2
ASV017089,2663762778,0.066353,4.20E-151,3.30E-09,0.01,2
ASV017122,2663762778,0.06425,4.20E-151,3.30E-09,0.01,2
ASV017151,2663762778,0.04618,4.20E-151,3.30E-09,0.01,2
ASV017177,2663762778,0.056917,4.20E-151,3.30E-09,0.01,2
ASV017219,2663762778,0.160178,4.20E-151,3.30E-09,0.01,2
ASV017766,2663762778,0.137217,4.20E-151,3.30E-09,0.01,2
ASV017793,2663762778,0.072898,4.20E-151,3.30E-09,0.01,2
ASV017817,2663762778,0.063387,4.20E-151,3.30E-09,0.01,2
ASV017821,2663762778,0.050027,4.20E-151,3.30E-09,0.01,2
ASV017822,2663762778,0.121985,4.20E-151,3.30E-09,0.01,2
ASV017829,2663762778,0.052073,4.20E-151,3.30E-09,0.01,2
ASV017831,2663762778,0.104579,4.20E-151,3.30E-09,0.01,2
ASV017843,2663762778,0.13195,4.20E-151,3.30E-09,0.01,2
ASV017868,2663762778,0.059703,4.20E-151,3.30E-09,0.01,2
ASV017882,2563366573,0.182918,7.00E-07,8.30E-07,0.01,2
ASV017895,2663762778,0.122842,4.20E-151,3.30E-09,0.01,2
ASV017987,2663762778,0.096394,4.20E-151,3.30E-09,0.01,2
ASV018037,2663762778,0.124687,4.20E-151,3.30E-09,0.01,2
ASV018061,2663762778,0.06315,4.20E-151,3.30E-09,0.01,2
ASV018079,2663762778,0.109058,4.20E-151,3.30E-09,0.01,2
ASV000610,2695420928,0.121026,2.40E-05,0.01,0.01,1
ASV001694,2695420928,0.11357,2.40E-05,0.01,0.01,1
ASV002444,2695420928,0.121026,2.40E-05,0.01,0.01,1
ASV003151,2695420928,0.132634,2.40E-05,0.01,0.01,1
ASV003868,2739368068,0.006426,4.20E-82,0.01,0.01,1
ASV003951,2695420928,0.082375,2.40E-05,0.01,0.01,1
ASV004030,2695420928,0.133255,2.40E-05,0.01,0.01,1
ASV004106,2695420928,0.121026,2.40E-05,0.01,0.01,1
ASV004307,2695420928,0.094274,2.40E-05,0.01,0.01,1
ASV004559,2695420928,0.13016,2.40E-05,0.01,0.01,1
ASV006256,2695420928,0.086058,2.40E-05,0.01,0.01,1
ASV010556,2695420928,0.089674,2.40E-05,0.01,0.01,1
ASV010710,2695420928,0.084672,2.40E-05,0.01,0.01,1
ASV013760,2695420928,0.121026,2.40E-05,0.01,0.01,1
ASV014860,2695420928,0.121026,2.40E-05,0.01,0.01,1
ASV016099,2695420928,0.101537,2.40E-05,0.01,0.01,1
ASV016970,2695420928,0.121026,2.40E-05,0.01,0.01,1
