,index,E-value 1,E-value 2,E-value others
55,2622736583,0.0036,0.01,0.01
56,2596583626,0.0017,0.01,0.01
57,2511231181-cluster,1.7999999999999996e-124,1e-77,6.899999999999999e-59
58,2622736591,2.2999999999999996e-129,8.799999999999998e-82,2.4e-57
59,2622736592,1.1999999999999997e-115,8.8e-78,1.0999999999999999e-62
60,2622736595,0.0041,0.01,0.01
61,2634166484,3.499999999999999e-123,0.01,0.01
62,2681813211,7.199999999999999e-143,0.01,0.01
63,2523533532,9.999999999999997e-136,0.01,0.01
64,2523533533,8.399999999999997e-123,0.01,0.01
65,2622736606,3.799999999999999e-135,0.01,0.01
66,2523533535,1.7999999999999995e-134,0.01,0.01
67,2602041572,1.9999999999999995e-137,0.01,0.01
68,2622736613,6.799999999999998e-137,0.01,0.01
69,2622736612,1.2999999999999997e-135,0.01,0.01
70,2596583655,1.7999999999999995e-98,0.01,0.01
71,2740891880,7.499999999999997e-133,6.299999999999999e-87,0.01
72,2740891881,4.7999999999999987e-138,0.01,0.01
73,2596583659,3.9999999999999993e-143,0.01,0.01
74,2596583660,1.1999999999999999e-19,0.01,0.01
75,2724679919,1.9999999999999995e-131,1.8999999999999995e-125,0.01
76,2708742384,2.1999999999999994e-118,0.01,0.01
77,2505679089,3.5999999999999995e-114,0.01,0.01
78,2684623091,1.3999999999999997e-142,0.01,0.01
79,2684623102,1.0999999999999996e-133,0.01,0.01
80,2554235135,9.199999999999998e-139,0.01,0.01
81,2671180035,0.0048,0.01,0.01
82,2671180041,3.799999999999999e-144,0.01,0.01
83,2700988682-cluster,0.00014,0.01,0.01
84,2700988684,0.00029,0.01,0.01
85,2700988687,0.0013,0.01,0.01
86,2590828817,1.7999999999999997e-114,0.01,0.01
87,2700988690,0.00047999999999999996,0.01,0.01
88,2551306523,6.499999999999998e-140,9.5e-11,9.5e-11
89,2524023070,1.3e-25,0.01,0.01
90,2700988713,8.699999999999998e-110,5.699999999999999e-106,0.01
91,2700988714,1.5999999999999995e-143,3.0999999999999994e-98,0.01
92,2684623157,2.5999999999999995e-132,8.199999999999999e-124,0.01
93,2671180087,1.5999999999999996e-139,0.01,0.01
94,2700988730,1.3999999999999994e-140,0.01,0.01
95,2503754044,1.1999999999999995e-151,5.099999999999999e-149,0.01
96,2619619644,1.3999999999999994e-134,1.8999999999999992e-132,0.01
97,2687453533,2.1999999999999998e-116,0.01,0.01
98,2684623203,9.999999999999998e-142,2.799999999999999e-140,0.01
99,2645727597,0.0054,0.01,0.01
100,2721755521,0.0029,0.01,0.01
101,2687453570,1.4999999999999997e-138,0.01,0.01
102,2708742533,3.3e-16,3.4e-05,0.01
103,2708742539,1.3e-31,0.01,0.01
104,2671180174-cluster,6.1999999999999976e-139,0.01,0.01
105,2501939600-cluster,3.499999999999999e-139,1.7999999999999994e-133,0.01
106,2693429651,8.699999999999998e-143,0.01,0.01
107,2524023208,6.699999999999999e-98,0.01,0.01
108,2524023210,0.00056,0.01,0.01
109,2524023215,4.699999999999999e-139,0.01,0.01
110,2551306672,7.599999999999997e-141,0.01,0.01
111,2731639219,1.8999999999999996e-123,0.01,0.01
112,2738543029,0.0013,0.01,0.01
113,2524023228,0.0021,0.01,0.01
114,2721755614,5.1999999999999985e-141,0.01,0.01
115,2645727714,1.7999999999999997e-122,0.01,0.01
116,2675902958,1.2999999999999997e-143,9.999999999999998e-140,5.175e-10
117,2671180271,9.099999999999997e-142,0.01,0.01
118,2693429751,5.599999999999999e-107,1e-52,0.01
119,2554235391-cluster,1.1999999999999997e-136,0.01,0.01
120,2740892159,9.2e-14,1.7000000000000001e-09,8.679666666666667e-05
121,2657245700,1.1999999999999997e-136,0.01,0.01
122,2657245702-cluster,4.799999999999998e-142,0.01,0.01
123,2657245703-cluster,6.799999999999997e-135,0.01,0.01
124,2657245705,2.6999999999999997e-141,0.01,0.01
125,2681813515,1.1e-11,1.9e-09,1.2e-05
126,2657245709,4.1999999999999984e-131,0.01,0.01
127,2657245710,3.999999999999999e-138,0.01,0.01
128,2657245711,1.5999999999999995e-141,0.01,0.01
129,2657245712,2.6999999999999997e-141,0.01,0.01
130,2554235409,1.3999999999999998e-71,0.01,0.01
131,2657245720,7.199999999999997e-139,0.01,0.01
132,2657245726,4.3999999999999986e-133,0.01,0.01
133,2657245729,2.4999999999999993e-138,0.01,0.01
134,2681813552,0.00062,0.01,0.01
135,2687453746,1.6e-36,8.699999999999999e-20,0.01
136,2737472056,6.399999999999998e-134,0.01,0.01
137,2681813563,1.2999999999999995e-138,0.01,0.01
138,2675903050,8.6e-08,0.01,0.01
139,2675903051-cluster,7.499999999999998e-145,0.01,0.01
140,2675903053,1.7999999999999996e-116,0.01,0.01
141,2675903059,2.0999999999999993e-139,3.6999999999999987e-85,0.01
142,2675903060,1.1999999999999995e-139,0.01,0.01
143,2617270872,1.4999999999999994e-132,0.01,0.01
144,2675903065,1.4999999999999996e-139,0.01,0.01
145,2675903066,1.7999999999999995e-138,0.01,0.01
146,2576861785-cluster,7.399999999999998e-119,0.01,0.01
147,2708742746,2.3e-12,0.01,0.01
148,2751185502,5.7999999999999984e-126,0.01,0.01
149,2576861791,1.7999999999999997e-122,0.01,0.01
150,2521172577,5.4e-08,0.01,0.01
151,2693429860,1.4e-85,8.099999999999999e-83,0.01
152,2617270884,0.0021,0.01,0.01
153,2693429868,0.00018999999999999998,0.01,0.01
154,2687453805,1.7999999999999993e-142,0.01,0.01
155,2617270899,4.3999999999999986e-133,0.01,0.01
156,2634166899,1.0999999999999997e-127,8.8e-54,0.01
157,2645727861-cluster,5.999999999999999e-47,0.01,0.01
158,2576861830,6.899999999999997e-119,0.01,0.01
159,2517093003,0.0045,0.01,0.01
160,2521172622,0.00047000000000000004,0.01,0.01
161,2517093007,5.499999999999998e-122,0.01,0.01
162,2521172626,1.6999999999999996e-139,0.01,0.01
163,2517093016,3.899999999999999e-148,1.9999999999999995e-145,0.01
164,2517093017,3.0999999999999994e-150,1.2e-57,0.01
165,2675903133,2.6e-124,0.01,0.01
166,2675903134,7.699999999999999e-134,2.7999999999999993e-126,5.799999999999999e-78
167,2675903138-cluster,5.799999999999999e-142,3.3e-86,0.01
168,2675903140,8.099999999999998e-138,1.4999999999999994e-88,0.01
169,2517093034-cluster,1.7999999999999996e-124,1e-77,6.699999999999999e-59
170,2675903153,5.499999999999998e-128,0.01,0.01
171,2675903158,0.00022,0.0035,0.01
172,2740892359,2.0999999999999993e-139,0.01,0.01
173,646564557,5.799999999999998e-136,0.01,0.01
174,2636415694,5.999999999999999e-47,0.01,0.01
175,2654587604-cluster,0.0032,0.01,0.01
176,2738541271-cluster,0.0048,0.01,0.01
177,646564586,0.00013000000000000002,0.01,0.01
178,2617271025,2.0999999999999992e-142,0.01,0.01
179,2675903218,1.3999999999999997e-131,9.999999999999997e-131,5.999999999999999e-110
180,2738541297-cluster,0.0013,0.01,0.01
181,2642422517,1.2999999999999996e-128,2.0999999999999993e-107,0.01
182,2675903223,3.6999999999999995e-76,7.499999999999998e-70,1.7999999999999997e-65
183,2568526584,4.899999999999998e-140,0.01,0.01
184,2675903226,7.899999999999997e-137,0.01,0.01
185,2599185150,1.3999999999999997e-137,0.01,0.01
186,2744054538,1.8e-19,0.01,0.01
187,2645728019,3.3999999999999993e-134,0.01,0.01
188,2663762721,2.1999999999999994e-142,4.499999999999999e-102,0.01
189,2663762722,7.199999999999999e-143,0.01,0.01
190,2675903267,1.6999999999999996e-130,0.01,0.01
191,2599185187,3.8e-117,0.01,0.01
192,2744054563,6.9e-20,0.01,0.01
193,2660238121,4e-74,0.01,0.01
194,2599185195,1.2999999999999996e-107,0.01,0.01
195,2663762750,1.1999999999999998e-137,3.0999999999999994e-82,0.01
196,2663762751,4.299999999999999e-137,0.01,0.01
197,2568526656-cluster,7.799999999999998e-120,0.01,0.01
198,2663762755,8.599999999999998e-147,0.01,0.01
199,2751185736,9.699999999999998e-142,1.7999999999999998e-140,1.7999999999999994e-105
200,2645728072,2.3999999999999994e-140,0.01,0.01
201,2518645587,0.0017,0.01,0.01
202,2671180628,3.899999999999999e-142,0.01,0.01
203,2645728084,9.299999999999998e-105,0.01,0.01
204,2663762775,2.8e-149,0.00053,0.01
205,2663762778,4.199999999999999e-151,3.3e-09,0.01
206,2558860141,5.4999999999999986e-90,4.2999999999999994e-86,2.7999999999999995e-75
207,2751185780,8.199999999999997e-123,0.01,0.01
208,2751185782,1.9999999999999997e-73,3.1999999999999995e-69,0.01
209,2751185783,2.4999999999999997e-124,4.6999999999999995e-119,0.01
210,2518645623,2.2999999999999994e-97,2.499999999999999e-96,4.150000000384999e-59
211,2645728126-cluster,0.0009,0.01,0.01
212,2507525000,1.7999999999999997e-92,0.01,0.01
213,2751185805,9.099999999999997e-140,1.1999999999999997e-128,0.01
214,2630968205,0.004,0.01,0.01
215,2654587794,3.7999999999999995e-102,0.01,0.01
216,2660238227-cluster,1.9e-43,0.01,0.01
217,2509276054,1.0999999999999996e-146,0.01,0.01
218,2509276063,3.2000000000000003e-23,0.01,0.01
219,2651870114,0.0059,0.01,0.01
220,2651870117,7.799999999999999e-109,7.799999999999998e-108,1.25e-05
221,2545824678,2.399999999999999e-164,0.01,0.01
222,2651870121-cluster,9.999999999999997e-125,2.5999999999999996e-119,0.000116
223,2751185840,8.199999999999997e-137,5.999999999999999e-85,0.01
224,2636415922-cluster,7.099999999999999e-44,0.01,0.01
225,2609460149,1.7999999999999996e-124,1e-77,6.899999999999999e-59
226,2728369078-cluster,1.9999999999999996e-146,0.0013,0.01
227,2636415928,1.4999999999999995e-119,1.4999999999999999e-33,1.40245e-28
228,2617271235,2.2999999999999995e-134,0.01,0.01
229,2630968262,6.599999999999998e-127,3.2e-60,0.01
230,2751185868,1.2999999999999996e-142,2.6e-100,0.01
231,2599185358,1.4999999999999995e-120,0.01,0.01
232,2599185360,0.0062,0.01,0.01
233,2700989401,1.1999999999999998e-133,0.01,0.01
234,2516653028,8.699999999999998e-133,0.01,0.01
235,2654587880,1.0999999999999997e-143,0.01,0.01
236,2579778551,1.2999999999999998e-76,7.499999999999998e-41,0.01
237,2663762943,1.2999999999999995e-114,2.2e-55,0.01
238,2695420928,2.4e-05,0.01,0.01
239,2695420953,4.8999999999999987e-119,0.01,0.01
240,2695420963,8.399999999999997e-134,3.099999999999999e-125,8.25e-39
241,2667527220,8.399999999999999e-148,0.01,0.01
242,2744054841,1.1999999999999996e-142,0.01,0.01
243,2728369219,6.6e-28,0.01,0.01
244,2648501326,1.4999999999999997e-155,0.01,0.01
245,2643221585-cluster,7.299999999999997e-130,0.01,0.01
246,2513237078,2.3999999999999993e-149,0.01,0.01
247,2579778653,1.7999999999999998e-59,0.01,0.01
248,2515154016,2.6999999999999996e-140,0.01,0.01
249,2728369266,5.799999999999998e-135,0.01,0.01
250,2651870325,1.6e-08,0.01,0.01
251,2636416124,5.699999999999999e-139,0.01,0.01
252,2513237120,1.0999999999999998e-135,0.01,0.01
253,2515154089,2.5e-15,0.01,0.01
254,2744054958,5.899999999999998e-127,0.01,0.01
255,2515154095,4.099999999999999e-141,0.01,0.01
256,2515154102-cluster,2.3999999999999993e-138,0.01,0.01
257,2513237176,5.599999999999999e-130,3.2999999999999994e-124,0.01
258,2515154105,5.0999999999999985e-140,0.01,0.01
259,2643221690,3.899999999999999e-125,0.01,0.01
260,2744054970,2.3999999999999997e-19,0.01,0.01
261,2643221694-cluster,2.1e-116,0.01,0.01
262,2643221697,7.799999999999997e-113,0.01,0.01
263,2515154118,1.7e-05,0.01,0.01
264,2531839181,9.999999999999997e-131,0.01,0.01
265,2667527381,1.5e-06,0.01,0.01
266,2518285526,1.3999999999999997e-143,0.01,0.01
267,2667527383,2.3999999999999993e-150,0.01,0.01
268,2667527386,1.7999999999999993e-142,5.899999999999998e-138,0.01
269,2667527388,4.0999999999999984e-152,0.00075,0.01
270,2515154141,4.899999999999999e-139,0.01,0.01
271,2728369379,0.001,0.01,0.01
272,2515154150,8.199999999999998e-135,0.01,0.01
273,2667527405,3.499999999999999e-148,3.299999999999999e-132,0.01
274,2667527411,5.4e-08,0.01,0.01
275,2667527412,3.3e-36,3e-13,0.01
276,2515154165,4.799999999999998e-142,0.01,0.01
277,2515154166,4.299999999999999e-139,0.01,0.01
278,2597489910-cluster,2.4999999999999997e-134,0.01,0.01
279,2630968572,1.0999999999999997e-142,0.01,0.01
280,2630968578,7.4e-11,0.01,0.01
281,2515154179,1.8999999999999994e-145,0.01,0.01
282,649633034,2.6999999999999993e-132,0.01,0.01
283,2731957516,7.799999999999999e-84,0.01,0.01
284,2597489935,1.6e-06,4.6e-06,0.01
285,2643221776,0.0019,0.01,0.01
286,2515154197,2.8e-08,0.01,0.01
287,2667527447,6.199999999999999e-29,0.01,0.01
288,2667527448,3.4999999999999993e-68,6.799999999999999e-60,0.01
289,2643221784,7.9e-27,3.8e-10,0.01
290,2667527456,3.099999999999999e-147,0.01,0.01
291,2728369465,1.8999999999999995e-137,0.01,0.01
292,644736323,9.199999999999999e-129,0.01,0.01
293,2731957573,3.3999999999999987e-140,0.01,0.01
294,2731957574,3.2999999999999994e-141,4.7999999999999987e-107,0.01
295,2728369483,8.899999999999996e-146,2.899999999999999e-133,0.01
296,2731957583,4.399999999999999e-113,0.01,0.01
297,644736339,3.3999999999999993e-72,2.0999999999999996e-63,0.01
298,2731957590,5.599999999999998e-144,0.01,0.01
299,2731957594,2.1999999999999995e-140,7.999999999999999e-112,0.01
300,2731957597,2.299999999999999e-131,0.01,0.01
301,2639762784-cluster,2.3999999999999993e-138,0.01,0.01
302,2522572130,7.499999999999999e-95,0.01,0.01
303,2731957603,4.199999999999999e-133,0.01,0.01
304,2731957609,1.1e-12,0.01,0.01
305,2728369515-cluster,1.7999999999999995e-134,0.01,0.01
306,2728369518,2.4999999999999994e-130,5.299999999999999e-129,1.7999999999999997e-83
307,2728369520,1.3999999999999997e-133,6.999999999999999e-132,0.01
308,2597490034,5.399999999999999e-141,0.01,0.01
309,2643221878-cluster,3.299999999999999e-120,0.01,0.01
310,644736376,1.0999999999999997e-106,0.01,0.01
311,2643221883,1.8999999999999996e-129,0.01,0.01
312,2690315652,1.3999999999999994e-140,0.01,0.01
313,2690315655,2.5999999999999994e-129,0.01,0.01
314,2643221900,1.8999999999999998e-121,0.01,0.01
315,644736404,7.899999999999998e-159,0.01,0.01
316,2510065045,0.0044,0.01,0.01
317,2718217639,2.3999999999999994e-143,0.01,0.01
318,2623620524,9.1e-13,0.01,0.01
319,2731957678,3.1999999999999992e-170,1.4999999999999995e-162,0.01
320,2639762877,1.6999999999999993e-140,0.01,0.01
321,2718217663,3.699999999999999e-141,4.299999999999999e-140,3.3999999999999993e-84
322,2724679104,2.999999999999999e-141,0.01,0.01
323,2630968772,2.4999999999999996e-118,1.0999999999999998e-79,2.7e-57
324,2623620551-cluster,3.3999999999999995e-129,4.499999999999999e-82,1.6e-56
325,2623620557,6.299999999999998e-136,0.01,0.01
326,2574179793,1.3999999999999996e-70,0.01,0.01
327,2639762901-cluster,1.2999999999999999e-27,0.01,0.01
328,2623620567,7.499999999999997e-136,3.999999999999999e-129,0.01
329,2623620569,1.8999999999999995e-138,2.0999999999999992e-131,0.01
330,2718217699-cluster,1.3e-55,0.01,0.01
331,2519899620,0.0018,0.01,0.01
332,2731957743,6e-07,0.01,0.01
333,2623620609,1.9999999999999995e-140,9.999999999999997e-125,0.0046
334,2623620610,1.2999999999999997e-135,1.4e-81,0.01
335,2623620611,6.799999999999998e-137,0.01,0.01
336,2623620612,1.4999999999999995e-136,2.5e-83,0.01
337,2519899649,2.899999999999999e-116,9.599999999999997e-103,1.050000025e-90
338,2597490182-cluster,2.0999999999999994e-141,0.01,0.01
339,2548876808,5.699999999999999e-159,0.01,0.01
340,2531839497,2.5999999999999998e-27,0.01,0.01
341,2600254989,6.999999999999998e-137,0.01,0.01
342,2619618872-cluster,7.299999999999999e-150,0.01,0.01
343,2585427525,2.799999999999999e-139,0.01,0.01
344,2724679240,6.799999999999997e-140,0.01,0.01
345,2724679241,3.5999999999999994e-143,0.01,0.01
346,2595698251,9.699999999999998e-143,3.4999999999999994e-142,1.3999999999999998e-71
347,2724679243,2.8999999999999995e-142,0.01,0.01
348,2724679244,1.9999999999999995e-141,0.01,0.01
349,2739367500,0.0034,0.01,0.01
350,2690315863,3.599999999999999e-134,0.01,0.01
351,2648501849,2.799999999999999e-140,0.01,0.01
352,2585427557,2.1999999999999997e-136,0.01,0.01
353,2585427558,9.699999999999998e-135,2.399999999999999e-131,0.01
354,2585427560,2.1999999999999997e-139,0.01,0.01
355,2585427562,2.7999999999999993e-136,0.01,0.01
356,2663763599,1.6999999999999996e-145,9e-07,0.01
357,2630968981,3.899999999999999e-82,4.199999999999999e-73,4.899999999999999e-70
358,2541047451,2.7999999999999992e-170,1.3999999999999997e-163,0.01
359,2517434013,1.0999999999999998e-79,2e-61,0.01
360,2563366573,7e-07,8.3e-07,0.01
361,2547132081,1.4999999999999998e-134,0.01,0.01
362,2585427649,9.399999999999997e-146,6.099999999999998e-112,0.01
363,2619619011-cluster,4.799999999999998e-139,1.1999999999999996e-132,0.01
364,2639763142-cluster,6.199999999999999e-137,0.01,0.01
365,2537561814,0.0062,0.01,0.01
366,2548877016,2.3999999999999997e-19,0.01,0.01
367,2619619033,2.1999999999999994e-142,1.5999999999999995e-102,1.6999999999999996e-88
368,2506381019,1.2999999999999993e-122,0.01,0.01
369,2531839708,7.199999999999998e-137,7.199999999999999e-83,7.799999999999999e-60
370,2739367654,4.099999999999999e-95,0.01,0.01
371,2619619046,1.8e-05,0.01,0.01
372,2585427691,0.0032,0.01,0.01
373,2582580973,3.4e-32,1.6e-24,0.01
374,2603880179-cluster,8e-18,0.01,0.01
375,2603880180,0.00062,0.01,0.01
376,2690316023,9.799999999999998e-76,0.01,0.01
377,2561511169-cluster,1.8999999999999995e-142,0.01,0.01
378,2724679429,1.8999999999999996e-119,0.01,0.01
379,2561511175,3.7999999999999994e-143,7.899999999999999e-112,0.01
380,2718217991,0.0044,0.0044,0.01
381,2585427723,8.999999999999999e-141,0.01,0.01
382,2574180112-cluster,9.599999999999998e-109,0.01,0.01
383,2561511190-cluster,3.799999999999999e-142,0.01,0.01
384,2582581014,5.2999999999999986e-126,5.899999999999998e-101,5.099999999999999e-66
385,2561511197,0.00088,0.01,0.01
386,2582581028,9.999999999999998e-142,0.01,0.01
387,2512564010,9.599999999999997e-149,0.01,0.01
388,2512564011,1.2999999999999997e-146,0.01,0.01
389,2627854128,5.0999999999999983e-135,0.01,0.01
390,2540341046,3.5e-33,8.1e-33,7.500000000000001e-10
391,2574180188-cluster,9.399999999999998e-150,0.01,0.01
392,2657245033-cluster,3.699999999999999e-98,0.01,0.01
393,2713896823,8.5e-115,0.01,0.01
394,2576861049,2.2999999999999994e-139,3.8999999999999993e-109,0.01
395,2615840637,1.1999999999999996e-132,0.01,0.01
396,2754412429,0.001,0.01,0.01
397,2615840661,4.599999999999999e-146,0.01,0.01
398,2681812892,2.7999999999999995e-131,1.1999999999999999e-59,0.01
399,2615840681,8.399999999999997e-142,0.01,0.01
400,2713896884,0.004,0.01,0.01
401,2739367861,1.1999999999999996e-132,1.2999999999999996e-128,0.01
402,2615840697-cluster,3.199999999999999e-136,0.01,0.01
403,2690316222,6.599999999999999e-67,0.01,0.01
404,2619619268-cluster,1.4000000000000002e-53,0.01,0.01
405,2515075013,2.1999999999999994e-125,4.699999999999999e-110,5.999999999999998e-109
406,2627854289,9.999999999999997e-135,0.01,0.01
407,2739367903,1.2999999999999996e-134,0.01,0.01
408,2667528164-cluster,1.6999999999999998e-117,0.01,0.01
409,2606217189,6.699999999999998e-141,0.01,0.01
410,2585427943,2.599999999999999e-138,0.01,0.01
411,2524614639,2.999999999999999e-139,0.01,0.01
412,2606217201-cluster,7.899999999999998e-159,0.01,0.01
413,2681812981,1.8e-07,0.01,0.01
414,2571042815,0.0081,0.01,0.01
415,2540341247,0.00013000000000000002,0.01,0.01
416,ASV000020,0.01,0.01,0.01
417,ASV000043,0.01,0.01,0.01
418,ASV000098,0.01,0.01,0.01
419,ASV000126,0.01,0.01,0.01
420,ASV000272,0.01,0.01,0.01
421,ASV000486,0.01,0.01,0.01
422,ASV000610,0.01,0.01,0.01
423,ASV000621,0.01,0.01,0.01
424,ASV000859,0.01,0.01,0.01
425,ASV001181,0.01,0.01,0.01
426,ASV001422,0.01,0.01,0.01
427,ASV001672,0.01,0.01,0.01
428,ASV001694,0.01,0.01,0.01
429,ASV001853,0.01,0.01,0.01
430,ASV001854,0.01,0.01,0.01
431,ASV002089,0.01,0.01,0.01
432,ASV002319,0.01,0.01,0.01
433,ASV002442,0.01,0.01,0.01
434,ASV002444,0.01,0.01,0.01
435,ASV002594,0.01,0.01,0.01
436,ASV002737,0.01,0.01,0.01
437,ASV002886,0.01,0.01,0.01
438,ASV002887,0.01,0.01,0.01
439,ASV002893,0.01,0.01,0.01
440,ASV003071,0.01,0.01,0.01
441,ASV003151,0.01,0.01,0.01
442,ASV003511,0.01,0.01,0.01
443,ASV003774,0.01,0.01,0.01
444,ASV003868,0.01,0.01,0.01
445,ASV003951,0.01,0.01,0.01
446,ASV004030,0.01,0.01,0.01
447,ASV004106,0.01,0.01,0.01
448,ASV004307,0.01,0.01,0.01
449,ASV004312,0.01,0.01,0.01
450,ASV004316,0.01,0.01,0.01
451,ASV004344,0.01,0.01,0.01
452,ASV004559,0.01,0.01,0.01
453,ASV004730,0.01,0.01,0.01
454,ASV004738,0.01,0.01,0.01
455,ASV005178,0.01,0.01,0.01
456,ASV005194,0.01,0.01,0.01
457,ASV005219,0.01,0.01,0.01
458,ASV005294,0.01,0.01,0.01
459,ASV005304,0.01,0.01,0.01
460,ASV005761,0.01,0.01,0.01
461,ASV005769,0.01,0.01,0.01
462,ASV005789,0.01,0.01,0.01
463,ASV005905,0.01,0.01,0.01
464,ASV006256,0.01,0.01,0.01
465,ASV006452,0.01,0.01,0.01
466,ASV006460,0.01,0.01,0.01
467,ASV006758,0.01,0.01,0.01
468,ASV006801,0.01,0.01,0.01
469,ASV006826,0.01,0.01,0.01
470,ASV007101,0.01,0.01,0.01
471,ASV007925,0.01,0.01,0.01
472,ASV008182,0.01,0.01,0.01
473,ASV008485,0.01,0.01,0.01
474,ASV008802,0.01,0.01,0.01
475,ASV008806,0.01,0.01,0.01
476,ASV008825,0.01,0.01,0.01
477,ASV008847,0.01,0.01,0.01
478,ASV008855,0.01,0.01,0.01
479,ASV008860,0.01,0.01,0.01
480,ASV008863,0.01,0.01,0.01
481,ASV009119,0.01,0.01,0.01
482,ASV009377,0.01,0.01,0.01
483,ASV009381,0.01,0.01,0.01
484,ASV009408,0.01,0.01,0.01
485,ASV009426,0.01,0.01,0.01
486,ASV009448,0.01,0.01,0.01
487,ASV009483,0.01,0.01,0.01
488,ASV009555,0.01,0.01,0.01
489,ASV009940,0.01,0.01,0.01
490,ASV009947,0.01,0.01,0.01
491,ASV009960,0.01,0.01,0.01
492,ASV009965,0.01,0.01,0.01
493,ASV009972,0.01,0.01,0.01
494,ASV009988,0.01,0.01,0.01
495,ASV009994,0.01,0.01,0.01
496,ASV010004,0.01,0.01,0.01
497,ASV010052,0.01,0.01,0.01
498,ASV010061,0.01,0.01,0.01
499,ASV010100,0.01,0.01,0.01
500,ASV010556,0.01,0.01,0.01
501,ASV010710,0.01,0.01,0.01
502,ASV010979,0.01,0.01,0.01
503,ASV011523,0.01,0.01,0.01
504,ASV011883,0.01,0.01,0.01
505,ASV012056,0.01,0.01,0.01
506,ASV012061,0.01,0.01,0.01
507,ASV012068,0.01,0.01,0.01
508,ASV012082,0.01,0.01,0.01
509,ASV012585,0.01,0.01,0.01
510,ASV012633,0.01,0.01,0.01
511,ASV012665,0.01,0.01,0.01
512,ASV012666,0.01,0.01,0.01
513,ASV012702,0.01,0.01,0.01
514,ASV012771,0.01,0.01,0.01
515,ASV012788,0.01,0.01,0.01
516,ASV012904,0.01,0.01,0.01
517,ASV012910,0.01,0.01,0.01
518,ASV013503,0.01,0.01,0.01
519,ASV013508,0.01,0.01,0.01
520,ASV013542,0.01,0.01,0.01
521,ASV013553,0.01,0.01,0.01
522,ASV013564,0.01,0.01,0.01
523,ASV013593,0.01,0.01,0.01
524,ASV013603,0.01,0.01,0.01
525,ASV013647,0.01,0.01,0.01
526,ASV013658,0.01,0.01,0.01
527,ASV013670,0.01,0.01,0.01
528,ASV013707,0.01,0.01,0.01
529,ASV013716,0.01,0.01,0.01
530,ASV013745,0.01,0.01,0.01
