E-value,score,bias,Sequence,start,end,Description
1.90E-145,498.8,73.7,2515154179,3874862,3875649,
2.00E-145,498.6,94.1,2517093016,3985175,3984386,
7.50E-145,496.8,78.4,2675903051,3088766,3087986,
9.70E-145,496.4,86.4,2634166339,8700307,8699500,
3.80E-144,494.5,88.9,2671180041,699575,698794,
5.60E-144,493.9,97.6,2731957590,5245514,5246294,
9.20E-144,493.2,93.3,2622736531,3270075,3269297,
1.10E-143,493,99.4,2654587880,5029039,5028265,
1.30E-143,492.7,20.3,2675902958,2940700,2941500,
1.40E-143,492.6,96.8,2518285526,493256,492527,
1.60E-143,492.4,101.3,2700988714,7694100,7694876,
2.40E-143,491.8,88.5,2718217639,2006178,2005400,
2.90E-143,491.6,83.9,2634166275,636715,635910,
3.60E-143,491.2,102.8,2724679241,2268898,2268135,
3.80E-143,491.2,79.2,2561511175,5809773,5810578,
4.00E-143,491.1,78,2596583659,2496844,2497634,
7.20E-143,490.2,93.4,2663762722,3956708,3955974,
7.20E-143,490.2,93.4,2681813211,6359692,6358958,
8.70E-143,490,99.7,2693429651,1270753,1270020,
9.70E-143,489.8,58.4,2595698251,7564520,7563748,
1.10E-142,489.7,87.6,2596583533,4123899,4123121,
1.10E-142,489.6,85.1,2630968572,2135386,2136165,
1.20E-142,489.5,94.5,2744054841,1083433,1084211,
1.30E-142,489.4,92.5,2751185868,4234836,4234060,
1.40E-142,489.3,80.8,2684623091,4197786,4198560,
1.50E-142,489.2,102.6,2687453220,3239838,3240616,
1.80E-142,488.9,93.4,2687453805,4210011,4209233,
1.80E-142,488.9,18.1,2667527386,3061116,3060301,
1.90E-142,488.8,81.7,2561511169,10039691,10040465,
2.10E-142,488.7,84.3,2617271025,4737125,4737855,
2.20E-142,488.6,91.4,2619619033,593571,592795,
2.20E-142,488.6,89.3,2663762721,1031902,1032679,
2.90E-142,488.2,98.7,2724679243,4868423,4869195,
3.50E-142,488,60.6,2595698251,9774678,9775492,
3.80E-142,487.9,83.8,2561511190,1030266,1031045,
3.90E-142,487.8,96.2,2671180628,124976,125707,
4.80E-142,487.5,88.6,2515154165,2068115,2068892,
4.80E-142,487.5,88.6,2523533511,1652398,1651621,
4.80E-142,487.5,88.6,2657245702,5226157,5226934,
5.10E-142,487.4,101.9,2687453197,7093506,7094236,
5.80E-142,487.2,102.3,2675903138,2808794,2808020,
8.40E-142,486.7,11.8,2615840681,1817336,1818150,
9.10E-142,486.6,99.6,2671180271,4885168,4884438,
9.70E-142,486.5,105.7,2751185736,6821073,6820321,
1.00E-141,486.4,88.4,2582581028,4037140,4037920,
1.00E-141,486.4,88.4,2684623203,4236429,4237209,
1.60E-141,485.8,92.7,2657245711,3779764,3779026,
2.00E-141,485.5,107,2724679244,5991273,5990503,
2.10E-141,485.4,104.4,2597490182,839506,838729,
2.10E-141,485.4,104.4,2740891805,7780009,7780786,
2.70E-141,485,103.6,2657245705,639266,639994,
2.70E-141,485,103.6,2657245712,4268487,4269215,
3.00E-141,484.9,97.2,2724679104,1525214,1524437,
3.30E-141,484.7,104.8,2731957574,7740358,7741137,
3.70E-141,484.6,91,2718217663,3036193,3036956,
4.10E-141,484.4,81.1,2515154095,5594129,5593351,
5.20E-141,484.1,97.6,2721755614,3712355,3713132,
5.40E-141,484,106.1,2597490034,3653385,3654163,
6.10E-141,483.9,111,2634166348,4613319,4612519,
6.70E-141,483.7,93.4,2606217189,3224937,3225715,
7.60E-141,483.5,88.5,2551306672,5251498,5252275,
9.00E-141,483.3,102.2,2585427723,2949595,2948820,
1.40E-140,482.7,94.4,2700988730,10050619,10051347,
1.40E-140,482.7,90.7,2690315652,4571413,4572183,
1.70E-140,482.4,93.7,2639762877,6583998,6583220,
1.80E-140,482.3,97.8,2751185736,6557886,6558663,
2.00E-140,482.2,96.5,2623620609,23492,24266,
2.20E-140,482,119,2731957594,8520535,8519748,
2.40E-140,481.9,96.8,2645728072,6959484,6960261,
2.70E-140,481.7,52.6,2515154016,5421178,5420400,
2.80E-140,481.7,96.9,2648501849,6722210,6722985,
2.80E-140,481.7,96.9,2684623203,3932950,3933725,
3.40E-140,481.4,100.4,2731957573,1177148,1176379,
4.30E-140,481.1,93.9,2718217663,717956,718733,
4.90E-140,480.9,97.7,2568526584,6476341,6477120,
5.10E-140,480.8,100.8,2515154105,2218262,2219042,
6.50E-140,480.5,10.3,2551306523,253442,252557,
6.80E-140,480.4,107.9,2724679240,7080524,7079751,
8.90E-140,480,96.4,646311938,1209705,1210481,
9.10E-140,480,82.5,2751185805,3949312,3948524,
1.00E-139,479.8,21.3,2675902958,2939269,2940064,
1.20E-139,479.6,111.5,2675903060,4191789,4192564,
1.50E-139,479.2,98.8,2675903065,343887,343124,
1.60E-139,479.2,77.8,2671180087,785738,786473,
1.70E-139,479.1,111.3,2521172626,4738309,4739087,
2.10E-139,478.8,100.1,2740892359,5995893,5996621,
2.10E-139,478.8,92.9,2675903059,2642833,2642063,
2.10E-139,478.8,101.8,2706794553,7780322,7779545,
2.20E-139,478.7,90.4,2585427560,3615910,3615135,
2.30E-139,478.6,94.4,2576861049,4834556,4833777,
2.80E-139,478.4,119.2,2585427525,1935746,1934973,
3.00E-139,478.3,119.4,2524614639,4019336,4018563,
3.50E-139,478.1,97.2,2634166331,7644407,7643628,
3.50E-139,478,100.8,2501939600,6719570,6718793,
4.30E-139,477.7,96,2515154166,775428,776164,
4.70E-139,477.6,96.6,2524023215,212514,213294,
4.80E-139,477.6,99.5,2619619011,493854,494631,
4.90E-139,477.6,110.3,2515154141,7545075,7544300,
5.70E-139,477.4,88.3,2636416124,1709069,1709800,
6.20E-139,477.2,90,2671180174,8385508,8386284,
7.20E-139,477,98.7,2657245720,4238922,4239697,
9.20E-139,476.7,14.9,2554235135,4087650,4088454,
1.30E-138,476.2,98.4,2681813563,1770897,1770124,
1.50E-138,475.9,100.8,2687453570,832886,832112,
1.80E-138,475.7,102.3,2675903066,322835,323580,
1.90E-138,475.6,96.5,2724679801,188071,187293,
1.90E-138,475.6,114.2,2623620569,6309735,6310515,
2.40E-138,475.3,97.8,2639762784,104078,104808,
2.40E-138,475.3,97.6,2515154102,2785942,2786720,
2.50E-138,475.2,97.9,2657245729,1913901,1913126,
2.60E-138,475.2,104.9,2585427943,3072084,3071307,
2.80E-138,475.1,102.1,2554235005,4815505,4814730,
4.00E-138,474.6,88,2657245710,1183478,1184251,
4.80E-138,474.3,92,2740891881,6538830,6538087,
5.90E-138,474,11.4,2667527386,3062316,3061505,
8.10E-138,473.5,80.3,2675903140,635759,635018,
1.20E-137,473,87.4,2663762750,1300817,1301592,
1.40E-137,472.8,98.3,2524614673,2370727,2369952,
1.40E-137,472.8,73.4,2599185150,160922,161691,
1.80E-137,472.4,94.3,2596583533,3935478,3936262,
1.90E-137,472.3,87.4,2728369465,3596978,3597756,
2.00E-137,472.3,104,2602041572,6112393,6111662,
3.20E-137,471.5,89.5,646311958,6034994,6035769,
4.30E-137,471.1,82.1,2663762751,6020446,6019701,
4.50E-137,471.1,101.5,2622736535,3415896,3416664,
6.20E-137,470.6,89.2,2639763142,21093,21820,
6.80E-137,470.5,93.6,2622736613,5809473,5810253,
6.80E-137,470.5,105.7,2623620611,57270,58042,
7.00E-137,470.4,105.8,2600254989,526873,527639,
7.20E-137,470.4,104.1,2531839708,4174697,4173927,
7.90E-137,470.3,81.2,2675903226,1919066,1919846,
8.20E-137,470.2,96.9,2751185840,5998299,5997532,
1.20E-136,469.7,102.1,2657245700,4687849,4688577,
1.20E-136,469.6,95.8,2554235391,7840627,7841405,
1.40E-136,469.4,94,2582581313,211720,212498,
1.50E-136,469.3,99,2623620612,5641370,5642143,
2.20E-136,468.8,93.1,2585427557,4563982,4563202,
2.80E-136,468.4,81,2585427562,3229441,3230219,
3.20E-136,468.3,13.4,2615840697,2217720,2216907,
4.40E-136,467.8,100.6,2687453302,4896559,4895789,
4.50E-136,467.8,98.9,2634166340,4266275,4267005,
5.80E-136,467.4,82.5,646564557,5438887,5439665,
6.30E-136,467.3,103.8,2623620557,1907798,1908590,
7.50E-136,467,110.9,2623620567,2281843,2282575,
1.00E-135,466.6,98.9,2523533532,4076899,4076123,
1.10E-135,466.5,86.1,2513237120,1745250,1745998,
1.30E-135,466.3,92.5,2623620610,4164865,4165631,
1.30E-135,466.3,108.6,2622736612,2589528,2590280,
1.90E-135,465.7,85.9,2554235027,2765916,2765138,
3.80E-135,464.7,106.6,2622736606,4949951,4950727,
5.10E-135,464.3,82.4,2627854128,1217120,1216349,
5.80E-135,464.1,101.2,2728369266,5450109,5450892,
6.30E-135,464,110,2622736513,242838,243613,
6.80E-135,463.9,108.1,2657245703,4472641,4473370,
6.80E-135,463.9,109.2,2622736432,850111,849340,
8.00E-135,463.6,84.7,2554235028,71576,72356,
8.20E-135,463.6,101.1,2515154150,6775256,6775986,
9.70E-135,463.4,99.3,2585427558,2605622,2604851,
1.00E-134,463.3,103.6,2627854289,3747516,3748295,
1.30E-134,463,106,2739367903,2178062,2177295,
1.40E-134,462.9,106.6,2619619644,269043,268268,
1.50E-134,462.8,109.4,2547132081,1893920,1893191,
1.80E-134,462.5,101.8,2728369515,5035255,5036016,
1.80E-134,462.5,85,2523533535,2469764,2470510,
2.30E-134,462.1,48,2617271235,5909772,5909001,
2.50E-134,462,106.2,2597489910,463372,464100,
3.40E-134,461.6,107.4,2645728019,2772572,2773300,
3.60E-134,461.5,98.1,2690315863,4984232,4984959,
6.40E-134,460.6,89.9,2737472056,5384913,5384144,
7.70E-134,460.4,93.3,2675903134,6982695,6981938,
8.40E-134,460.3,98.4,2695420963,193949,193170,
1.10E-133,459.9,109.5,2684623102,1092037,1092766,
1.20E-133,459.7,93.4,2700989401,666182,666924,
1.40E-133,459.5,96.4,2728369520,1636754,1635960,
1.80E-133,459.1,105.4,2501939600,6519,7290,
2.90E-133,458.5,118.6,2728369483,8119676,8120467,
3.20E-133,458.3,125.6,2590828683,3956193,3956968,
4.20E-133,457.9,80.3,2731957603,4516967,4516192,
4.40E-133,457.9,100,2657245726,4863977,4864765,
4.40E-133,457.9,94.9,2617270899,3421024,3420262,
7.50E-133,457.1,92.7,2740891880,1747520,1746744,
8.70E-133,456.9,98.4,2516653028,8430983,8430204,
1.10E-132,456.6,91.9,2554235034,6144542,6143761,
1.20E-132,456.5,106.7,2619619011,4837911,4837140,
1.20E-132,456.5,51.9,2615840637,3889695,3888923,
1.20E-132,456.5,103.8,2724679777,7179887,7180654,
1.20E-132,456.4,107.5,2739367861,2256825,2256051,
1.50E-132,456.1,104.5,2617270872,1076388,1077156,
1.90E-132,455.8,103.2,2619619644,1803691,1804472,
2.60E-132,455.3,65,2684623157,2994719,2995510,
2.70E-132,455.3,121.2,649633034,1312647,1313394,
2.80E-132,455.3,102.6,2622736513,5232931,5232204,
3.30E-132,455,83.5,2667527405,3492047,3491272,
7.00E-132,453.9,84.7,2728369520,16266,17040,
1.10E-131,453.3,74.8,2596583537,649421,648648,
1.40E-131,452.9,105.3,2675903218,1838799,1838029,
2.00E-131,452.4,94.7,2724679919,6905917,6906682,
2.10E-131,452.3,118.7,2623620569,4949460,4948692,
2.30E-131,452.2,80.7,2731957597,4867997,4868774,
2.40E-131,452.1,106.3,2585427558,49433,48650,
2.80E-131,451.9,101.4,2681812892,621386,622161,
4.20E-131,451.3,114.3,2657245709,4817325,4816550,
1.00E-130,450.1,123.7,2531839181,7679271,7678543,
1.00E-130,450,118.1,2675903218,230591,231345,
1.70E-130,449.4,52.2,2675903267,2367609,2366808,
2.50E-130,448.8,94.3,2728369518,3946760,3945984,
3.60E-130,448.2,113.2,2622736534,2930813,2931542,
5.60E-130,447.6,95.6,2513237176,5129337,5128558,
7.30E-130,447.2,86.2,2643221585,1042023,1041255,
8.90E-130,447,119,2634166338,4467400,4468160,
1.90E-129,445.9,95.8,2643221883,298372,299114,
2.30E-129,445.6,104.9,2622736591,5526233,5525495,
2.60E-129,445.4,102.2,2690315655,2322968,2323736,
3.40E-129,445,110,2623620551,3408483,3407711,
4.00E-129,444.8,108.6,2623620567,887248,886521,
5.30E-129,444.4,104.5,2728369518,8212735,8211983,
9.20E-129,443.6,106.9,644736323,2179624,2178899,
1.20E-128,443.2,96.8,2751185805,5368676,5369457,
1.30E-128,443.2,108.9,2739367861,3729399,3730127,
1.30E-128,443.1,112.9,2642422517,3066739,3065951,
5.50E-128,441,94.6,2675903153,9806967,9807760,
1.10E-127,440.1,90.2,2634166899,8690400,8691178,
1.30E-127,439.8,73.7,2596583569,2952453,2951687,
1.30E-127,439.8,73.7,2596583604,3111013,3111779,
3.80E-127,438.3,104.1,2634166338,1815732,1816508,
5.90E-127,437.6,91.2,2744054958,4586616,4587394,
6.60E-127,437.5,99.8,2630968262,3489530,3488799,
1.30E-126,436.5,89.3,2634166338,439465,440242,
2.80E-126,435.4,99.9,2675903134,3554702,3553927,
5.30E-126,434.5,94.4,2582581014,808118,807341,
5.80E-126,434.4,92.4,2751185502,4375371,4374594,
7.20E-126,434,72.8,2596583595,1471816,1471040,
1.90E-125,432.7,95,2724679919,2765459,2766233,
2.20E-125,432.5,76.5,2515075013,6747189,6747977,
3.10E-125,432,96.5,2724679777,4616381,4617144,
3.10E-125,432,121.1,2695420963,7010033,7009291,
3.90E-125,431.6,111.9,2643221690,2867444,2866659,
1.00E-124,430.2,71.2,2651870121,5951563,5950798,
1.00E-124,430.2,109.6,2623620609,2207620,2208342,
1.30E-124,429.9,92.3,2695420963,7969788,7969072,
1.80E-124,429.4,92.9,2511231181,9863271,9864047,
1.80E-124,429.4,92.9,2517093034,8288579,8289355,
1.80E-124,429.4,92.9,2609460149,4576662,4575886,
2.50E-124,429,102,2751185783,9178955,9179736,
2.60E-124,428.9,116.8,2675903133,3801672,3800895,
3.30E-124,428.6,101.4,2513237176,3618597,3617849,
3.60E-124,428.4,74.4,2596583529,3230063,3230835,
8.20E-124,427.2,64,2684623157,2992907,2993678,
1.90E-123,426.1,108.8,2731639219,3944689,3943954,
3.50E-123,425.2,95.6,2634166484,4072173,4071438,
8.20E-123,423.9,70.9,2751185780,6613446,6614118,
8.40E-123,423.9,104.1,2523533533,8827624,8826846,
1.30E-122,423.3,84.2,2506381019,3281342,3280548,
1.80E-122,422.8,118.7,2576861791,943231,944016,
1.80E-122,422.8,84.8,2645727714,9684945,9684153,
5.50E-122,421.2,76.9,2517093007,5925474,5926252,
6.90E-122,420.9,123.6,2622736584,603731,604502,
1.90E-121,419.4,103.7,2643221900,3124547,3123809,
4.80E-121,418.1,93.4,2511231151,3178448,3177718,
8.60E-121,417.3,61.4,2585428062,1366272,1365504,
1.50E-120,416.5,97.6,2599185358,1252971,1252211,
3.30E-120,415.3,100.5,2643221878,1618937,1618206,
7.80E-120,414.1,2.4,2568526656,2404229,2403427,
1.50E-119,413.1,112.9,2636415928,2088010,2087239,
1.90E-119,412.8,3.1,2724679429,3219880,3219070,
2.60E-119,412.4,71.6,2651870121,5433732,5434471,
4.70E-119,411.5,104.3,2751185783,7543416,7544170,
4.90E-119,411.5,108.9,2695420953,1091763,1092531,
6.90E-119,411,3.8,2576861830,2635287,2636090,
7.40E-119,410.9,4,2576861785,2079825,2079021,
1.00E-118,410.4,109.8,2622736531,5129614,5128885,
2.20E-118,409.3,88.5,2708742384,1765285,1766075,
2.50E-118,409.1,130.7,2630968772,5337526,5338297,
8.20E-118,407.4,83.4,2651870121,4721592,4722383,
1.70E-117,406.3,89.3,2667528164,3744467,3745251,
3.80E-117,405.2,111.3,2599185187,977565,976797,
6.00E-117,404.6,111.5,2724679686,1095609,1094841,
1.80E-116,403,100.9,2675903053,2105346,2104655,
2.10E-116,402.7,103.2,2643221694,166135,166877,
2.20E-116,402.7,80,2687453533,2762793,2763567,
2.90E-116,402.3,84.6,2519899649,4103589,4102847,
1.20E-115,400.2,125.2,2622736592,2854506,2855279,
8.50E-115,397.5,102.9,2713896823,2219149,2218425,
1.10E-114,397.1,99.5,2695420963,3909968,3910683,
1.30E-114,396.8,76.8,2663762943,5588579,5587820,
1.80E-114,396.4,106,2590828817,484179,484892,
3.60E-114,395.4,114.5,2724679791,4019321,4020170,
3.60E-114,395.4,113.8,2505679089,412701,411970,
4.40E-113,391.8,107.7,2731957583,3864203,3864916,
7.80E-113,391,93.7,2643221697,3012977,3013713,
2.30E-112,389.4,61.3,2634166275,517364,516605,
6.10E-112,388,60.7,2585427649,2641985,2641226,
7.90E-112,387.6,62.4,2561511175,3272087,3271332,
8.00E-112,387.6,100.1,2731957594,7663839,7663064,
4.50E-110,381.8,99.5,2634166348,513951,514679,
4.70E-110,381.8,82.4,2515075013,8626048,8625262,
5.20E-110,381.6,104,646311963,5235508,5234780,
6.00E-110,381.4,103,2675903218,9940166,9940885,
8.70E-110,380.9,92.6,2700988713,1783596,1782840,
3.90E-109,378.7,84.6,2576861049,7141931,7142658,
3.90E-109,378.7,84.6,2634166331,3430952,3430225,
6.00E-109,378.1,62.9,2515075013,194421,195157,
7.80E-109,377.7,106.4,2651870117,1651978,1651208,
9.60E-109,377.4,3,2574180112,1901023,1900292,
7.80E-108,374.4,110.6,2651870117,2811273,2810539,
1.30E-107,373.7,115.6,2599185195,3179630,3178863,
1.90E-107,373.2,104.3,2728369518,8977878,8978600,
2.10E-107,373,75.4,2642422517,4557974,4557254,
4.80E-107,371.8,80.6,2731957574,568790,569525,
5.60E-107,371.6,78.8,2693429751,3682578,3683327,
1.10E-106,370.6,17.5,644736376,2046776,2046033,
2.50E-106,369.4,9.9,2524614800,970776,971573,
5.20E-106,368.4,72,2634166339,8577061,8576262,
5.70E-106,368.3,84.8,2700988713,577889,577111,
1.80E-105,366.6,128.8,2751185736,2580611,2581390,
9.30E-105,364.3,83.5,2645728084,3674714,3675434,
9.50E-105,364.2,29,2524614800,2633813,2634603,
2.20E-104,363,88.8,2684622998,1597246,1596464,
1.30E-103,360.5,89.6,2634166338,1651227,1651945,
9.60E-103,357.6,80.2,2519899649,714632,713855,
1.50E-102,357,85.8,2590828683,5102082,5102817,
1.60E-102,356.8,102.1,2619619033,6130434,6129673,
3.80E-102,355.6,85.8,2654587794,2701966,2701186,
4.50E-102,355.4,96.1,2663762721,2965294,2964535,
5.90E-101,351.7,85.7,2582581014,2632045,2632767,
2.60E-100,349.6,111.7,2751185868,7055227,7054513,
4.80E-100,348.7,102.4,2596583533,8406621,8405860,
2.60E-99,346.3,112.2,2590828683,3557956,3558674,
1.80E-98,343.5,130.1,2596583655,4166793,4167516,
3.10E-98,342.7,110.5,2700988714,1808294,1807556,
3.70E-98,342.5,10.5,2657245033,410933,410133,
5.00E-98,342,119.9,2519899649,4684263,4685023,
6.70E-98,341.6,10.9,2524023208,1430535,1431334,
7.50E-98,341.4,75,2651870121,5420030,5420759,
2.30E-97,339.8,104.1,2518645623,4247231,4247961,
2.10E-96,336.7,83.3,2590828683,4522949,4523676,
2.50E-96,336.4,85.9,2518645623,228099,227344,
4.10E-95,332.4,127.2,2739367654,4228067,4228796,
6.30E-95,331.8,94.3,2651870117,2613624,2612872,
7.50E-95,331.5,132.4,2522572130,5669708,5670431,
1.80E-92,323.6,121.4,2507525000,4425392,4426102,
4.30E-91,319.1,89.6,2590828683,5552349,5553075,
2.10E-90,316.8,74.1,2519899649,3101871,3101118,
5.50E-90,315.4,95.7,2558860141,1913846,1914569,
1.50E-88,310.7,96.3,2675903140,11547928,11547180,
1.70E-88,310.5,74.8,2619619033,334139,333366,
8.70E-88,308.2,88.7,2590828683,3193428,3192777,
6.30E-87,305.3,70.4,2740891880,5000913,5000110,
3.30E-86,302.9,69,2675903138,3887870,3887064,
3.90E-86,302.7,87.5,2695420963,6009176,6008416,
4.30E-86,302.6,70.2,2558860141,1094,364,
1.40E-85,300.8,72.4,2693429860,1654463,1653677,
3.70E-85,299.5,90.8,2675903059,7729977,7730734,
6.00E-85,298.8,78.1,2751185840,2310142,2310898,
3.40E-84,296.3,86.9,2718217663,8409182,8409930,
7.80E-84,295.1,87.9,2731957516,1437959,1437188,
2.50E-83,293.5,117.6,2590828683,546630,545902,
2.50E-83,293.4,72.3,2623620612,6844154,6844960,
3.60E-83,292.9,95,2728369518,10096190,10095428,
4.30E-83,292.7,88.2,2724679801,640601,641338,
7.20E-83,291.9,79.1,2531839708,4666883,4667651,
8.10E-83,291.7,93.7,2693429860,3816294,3815591,
3.10E-82,289.8,77.3,2663762750,6358352,6359161,
3.90E-82,289.5,69,2630968981,3233312,3232578,
4.20E-82,289.4,69.4,2739368068,1965771,1966572,
4.50E-82,289.3,92,2623620551,3629652,3628856,
8.80E-82,288.3,94,2622736591,6435890,6435107,
1.40E-81,287.7,76.7,2623620610,3668202,3667405,
1.10E-79,281.4,79.9,2517434013,2358103,2357322,
1.10E-79,281.4,95.7,2630968772,1048795,1049547,
1.60E-78,277.6,96.6,2622736584,5229225,5229967,
5.80E-78,275.7,89,2675903134,10905050,10904310,
8.80E-78,275.1,98.5,2622736592,3497069,3496324,
1.00E-77,274.8,80.6,2511231181,7438940,7439718,
1.00E-77,274.8,80.6,2517093034,4006089,4006867,
1.00E-77,274.8,80.6,2609460149,5954873,5954095,
1.30E-76,271.2,2.1,2579778551,1101700,1101209,
3.70E-76,269.7,87,2675903223,10956269,10955485,
4.60E-76,269.4,82.2,2622736591,7174767,7174004,
9.80E-76,268.3,52.3,2690316023,4966563,4967002,
2.80E-75,266.8,82.2,2558860141,4822318,4821559,
4.00E-74,263,68.5,2660238121,7779702,7780460,
2.00E-73,260.7,86.2,2751185782,4296090,4296812,
4.20E-73,259.6,29.9,2630968981,3140054,3139304,
3.40E-72,256.6,78,644736339,5600848,5600069,
1.40E-71,254.6,59.9,2595698251,11821768,11822511,
1.40E-71,254.6,93.7,2554235409,3193936,3194723,
1.30E-70,251.4,69.6,2651870121,5429593,5428875,
1.40E-70,251.3,85,2574179793,734435,735208,
4.90E-70,249.5,63,2630968981,3070819,3070070,
7.50E-70,248.9,97.1,2675903223,9291208,9291928,
3.20E-69,246.8,94.9,2751185782,906622,907440,
7.70E-69,245.5,100.2,2518645623,275154,274568,
2.10E-68,244.1,99.8,2590828683,5553963,5553180,
3.50E-68,243.4,87.9,2667527448,5129590,5130375,
6.60E-67,239.2,106.3,2690316222,3586501,3585778,
5.10E-66,236.2,115.6,2582581014,2413937,2413199,
1.80E-65,234.4,80.8,2675903223,11368469,11367691,
2.10E-63,227.6,87.1,644736339,3139890,3140655,
1.10E-62,225.2,105.3,2622736592,7202121,7201343,
2.00E-61,221,89.3,2517434013,9265857,9266637,
3.20E-60,217.1,45.1,2630968262,2269892,2269497,
6.80E-60,216,93.9,2667527448,7174314,7173577,
7.80E-60,215.8,97.3,2531839708,890484,891225,
1.20E-59,215.2,97.4,2681812892,2082690,2081906,
1.80E-59,214.6,74.5,2579778653,9558226,9559002,
6.70E-59,212.7,83.5,2517093034,4271039,4271796,
6.90E-59,212.7,84.7,2511231181,7702966,7703724,
6.90E-59,212.7,84.7,2609460149,6511299,6512057,
8.30E-59,212.4,144.2,2518645623,1816494,1815768,
6.50E-58,209.4,109.8,2622736584,5936705,5935918,
1.20E-57,208.6,39.7,2517093017,2788167,2788537,
2.70E-57,207.4,110,2630968772,2499540,2500327,
4.80E-57,206.6,89.8,2622736591,6462108,6462850,
1.60E-56,204.8,109.3,2623620551,5303605,5304369,
5.10E-56,203.2,74,2634166371,8708692,8707916,
1.30E-55,201.8,43.7,2718217699,9780546,9781013,
2.20E-55,201.1,66,2663762943,8479290,8478514,
8.80E-54,195.8,110.4,2634166899,4799043,4799784,
1.40E-53,195.1,72.4,2619619268,6434721,6433945,
1.00E-52,192.2,78.6,2693429751,1874937,1874162,
3.70E-48,177.2,157.3,2590828683,5261257,5260535,
6.00E-47,173.2,88.4,2636415694,1374603,1375379,
6.00E-47,173.2,88.4,2645727861,570883,570107,
7.10E-44,163,92.5,2636415922,1029679,1028904,
1.90E-43,161.6,94,2660238227,1069785,1069010,
7.50E-41,153,8.6,2579778551,2186921,2187254,
3.30E-38,144.3,39.2,2695420963,9178694,9179126,
1.60E-36,138.7,63.6,2537562210,646724,645968,
1.60E-36,138.7,63.6,2687453746,2387777,2387021,
3.30E-36,137.7,34.5,2667527412,7913149,7913409,
1.50E-33,128.9,77.8,2636415928,2978606,2979171,
3.50E-33,127.7,84.4,2540341046,385832,385278,
8.10E-33,126.5,82.4,2540341046,2014504,2015210,
3.40E-32,124.4,82.8,2582580973,2116340,2115636,
1.30E-31,122.5,85.9,2708742539,1960078,1960781,
4.90E-31,120.6,92.3,2636415928,2002317,2002949,
6.20E-29,113.6,4.9,2667527447,1440641,1441254,
2.80E-28,111.5,87.8,2636415928,2633664,2632961,
6.60E-28,110.3,5.9,2728369219,3643876,3644563,
1.30E-27,109.3,4.8,2639762901,2576180,2575512,
2.60E-27,108.3,3.7,2531839497,1114811,1115425,
7.90E-27,106.7,19.3,2643221784,1985839,1986061,
1.10E-25,102.9,82.5,2540341046,226784,226124,
1.30E-25,102.7,5.2,2524023070,373330,373932,
1.60E-24,99.1,74.4,2582580973,2117342,2116812,
3.20E-23,94.8,5.4,2509276063,2705862,2705250,
6.90E-20,83.8,31.3,2744054563,1643664,1643202,
8.70E-20,83.4,35.7,2537562210,218078,218544,
8.70E-20,83.4,35.7,2687453746,1958591,1959057,
1.20E-19,82.9,6,2596583660,1446716,1447315,
1.80E-19,82.4,25.4,2744054538,2101836,2102244,
2.40E-19,82,25.2,2548877016,1711469,1711061,
